1564555298426134016,-0.06525,0.00191,-0.04159,0.85906,-0.49656,-0.06442,-0.10631,
1564555298526193152,-0.06900,0.01239,-0.02532,0.83295,-0.53867,-0.10372,-0.07262,
1564555298726310400,-0.07441,0.01832,-0.02094,0.85507,-0.50335,-0.08258,-0.09319,
1564555298826377984,-0.07515,0.01546,-0.01916,0.86530,-0.48294,-0.06497,-0.11749,
1564555298926436864,-0.05964,0.01247,0.00026,0.85066,-0.50819,-0.06226,-0.11930,
1564555299026496000,-0.04740,0.01953,0.01712,0.81999,-0.56027,-0.07878,-0.08664,
1564555299126554368,-0.04374,0.02113,0.02823,0.79722,-0.59268,-0.10419,-0.04803,
1564555299226613248,-0.04081,0.01058,0.02369,0.80625,-0.58005,-0.09501,-0.06686,
1564555299326672896,-0.03724,0.00443,0.01675,0.81288,-0.57079,-0.08506,-0.07869,
1564555299526790912,-0.03882,0.00280,0.00527,0.81480,-0.56842,-0.07321,-0.08742,
1564555300027090432,-0.03862,0.00413,0.00389,0.80980,-0.57741,-0.07291,-0.07422,
1564555300227209216,-0.03883,0.00375,0.00480,0.79405,-0.59945,-0.08613,-0.05224,
1564555300327268352,-0.04131,-0.00150,-0.00134,0.80995,-0.57728,-0.08284,-0.06224,
1564555300427327488,-0.04613,-0.01509,-0.01066,0.86434,-0.47901,-0.00734,-0.15300,
1564555300627444992,-0.03718,-0.01481,-0.00179,0.79882,-0.59221,-0.08734,-0.05957,
1564555300727504128,-0.03934,-0.01092,-0.00626,0.79857,-0.59313,-0.09182,-0.04521,
1564555300827582720,-0.04198,-0.00917,-0.00834,0.81097,-0.57703,-0.07795,-0.05739,
1564555300927641088,-0.04381,-0.01115,-0.00906,0.81150,-0.57591,-0.07222,-0.06771,
1564555301027700736,-0.04404,-0.00810,-0.00852,0.80081,-0.59024,-0.07149,-0.07218,
1564555301127760384,-0.04348,-0.00312,-0.00911,0.79200,-0.60195,-0.07246,-0.07175,
1564555302128356864,-0.04402,-0.00176,-0.01010,0.78410,-0.61267,-0.06735,-0.07279,
1564555302328475392,-0.04325,-0.00543,-0.01082,0.79310,-0.60053,-0.06703,-0.07656,
1564555302528594432,-0.04154,-0.00258,-0.00984,0.78281,-0.61483,-0.06414,-0.07124,
1564555303729315840,-0.04306,-0.00411,-0.00772,0.78841,-0.60891,-0.05682,-0.06645,
1564555304129539072,-0.03588,-0.00536,-0.00625,0.77985,-0.61914,-0.08589,-0.03368,
1564555304229598464,-0.02769,-0.01028,-0.00672,0.77062,-0.62101,-0.13609,0.04438,
1564555304329658112,-0.02210,-0.01803,-0.00901,0.76811,-0.60048,-0.18745,0.11958,
1564555304429717504,-0.02247,-0.02572,-0.01351,0.78724,-0.57475,-0.18503,0.12520,
1564555304529776128,-0.02542,-0.03117,-0.01737,0.79840,-0.56452,-0.17791,0.11057,
1564555304629835776,-0.03695,-0.03579,-0.02166,0.80811,-0.55082,-0.19869,0.06379,
1564555304729895424,-0.04582,-0.04737,-0.03004,0.82480,-0.50602,-0.25165,0.01792,
1564555304829953280,-0.05235,-0.06165,-0.03897,0.85746,-0.45133,-0.24300,-0.04496,
1564555304930011648,-0.06538,-0.07924,-0.05721,0.88875,-0.37525,-0.22339,-0.13933,
1564555305030071296,-0.07386,-0.09528,-0.07934,0.90451,-0.30053,-0.22964,-0.19699,
1564555305130130944,-0.08327,-0.10630,-0.10246,0.90071,-0.25727,-0.24628,-0.24875,
1564555305230190592,-0.08511,-0.11075,-0.12174,0.90476,-0.22071,-0.24598,-0.26869,
1564555305330249984,-0.08714,-0.10454,-0.14709,0.91158,-0.15692,-0.23248,-0.30058,
1564555305430308608,-0.09340,-0.09948,-0.17535,0.91958,-0.11577,-0.19590,-0.32029,
1564555305530368256,-0.09164,-0.09203,-0.20114,0.90654,-0.12596,-0.15501,-0.37187,
1564555305630427904,-0.09142,-0.09702,-0.24809,0.90937,-0.02701,-0.10108,-0.40261,
1564555305730487296,-0.09138,-0.10401,-0.30704,0.92620,0.08257,-0.12671,-0.34537,
1564555305831082240,-0.09577,-0.11031,-0.38115,0.94222,0.04146,-0.12007,-0.30996,
1564555305931147008,-0.08024,-0.11712,-0.46702,0.94626,0.03606,-0.10674,-0.30314,
1564555307231867136,-0.13455,-0.09794,-2.23081,0.94723,0.03018,-0.09766,-0.30381,
